"earn","height","sex","ed","age","race"
50000,74.4244387818035,"male",16,45,"white"
60000,65.5375428255647,"female",16,58,"white"
30000,63.6291977374349,"female",16,29,"white"
50000,63.1085616752971,"female",16,91,"other"
51000,63.4024835710879,"female",17,39,"white"
9000,64.3995075440034,"female",15,26,"white"
29000,61.6563258264214,"female",12,49,"white"
32000,72.6985437364783,"male",17,46,"white"
2000,72.0394668497611,"male",15,21,"hispanic"
27000,72.2349325611722,"male",12,26,"white"
6530,69.5121464275289,"male",16,65,"white"
30000,68.0316082600038,"male",11,34,"white"
12000,67.556933917338,"male",12,27,"white"
12000,65.4305870763492,"female",12,51,"white"
22000,65.6628545243293,"female",16,35,"white"
17000,67.7587687384803,"male",12,58,"white"
40000,68.3518425801303,"female",14,29,"white"
44000,69.6095718003344,"male",13,44,"white"
7000,64.1845656777732,"female",12,55,"black"
53000,73.0746091497131,"male",13,35,"black"
5000,62.3755270198453,"female",13,51,"white"
14000,63.0239301056135,"female",14,21,"white"
5500,67.2299039133359,"male",14,22,"white"
40000,65.551107801497,"female",12,41,"white"
34000,72.0796453857329,"male",12,45,"white"
10000,63.0911300827283,"female",12,35,"black"
27000,64.3235489164945,"female",16,60,"white"
50000,71.6428528276738,"male",16,38,"white"
41000,76.7930946839042,"male",16,33,"white"
15000,63.8939143288881,"female",14,25,"white"
25000,63.8026230719406,"female",12,33,"white"
75000,71.5922314410564,"male",17,39,"white"
27000,67.5219634829555,"male",17,31,"white"
12000,64.3943514756393,"female",12,26,"white"
7500,61.1782226648647,"female",14,78,"white"
30000,66.9838783009909,"female",14,31,"black"
21000,65.3164557656273,"female",12,57,"white"
27000,63.5741851450875,"female",14,26,"white"
3000,66.6110004822258,"female",15,65,"white"
25000,64.9117550808005,"female",12,30,"white"
24000,64.7896799838636,"female",12,41,"white"
32000,66.937690645922,"female",18,29,"white"
10000,68.1728129491676,"female",17,30,"white"
11000,60.4506599237211,"female",12,21,"hispanic"
18700,64.7932535589207,"female",13,32,"white"
20000,61.8149190000258,"female",12,29,"white"
3500,71.5721453060396,"male",10,18,"white"
13000,67.3144058254547,"male",8,56,"black"
25000,69.8998733619228,"male",12,65,"white"
21000,69.7617020171601,"male",17,41,"white"
34000,67.7464710318018,"female",17,49,"white"
6000,60.190221529454,"female",12,65,"white"
17000,71.0064998776652,"male",12,28,"white"
35000,71.1667981331702,"male",12,32,"white"
4000,72.7356298717204,"male",13,18,"white"
14000,68.1382231093012,"female",14,55,"white"
10000,66.3798112401273,"female",12,57,"white"
25000,69.2327845250256,"male",16,29,"white"
16000,63.2739377985708,"female",14,27,"white"
16000,61.8277627213392,"male",14,28,"hispanic"
16500,64.2212092091795,"female",14,43,"white"
4000,63.841265113093,"female",9,68,"white"
3840,66.9747701257002,"female",9,52,"white"
22000,71.451489093015,"male",12,39,"white"
200,59.6126462582033,"female",16,53,"white"
26000,65.7993855320383,"female",16,27,"white"
2500,66.4580405310262,"female",15,21,"white"
17000,64.60288038617,"female",14,39,"white"
8000,70.4404814683367,"female",13,22,"white"
12000,65.922813506797,"female",13,68,"white"
10000,61.8568268497474,"female",12,47,"white"
10000,65.7844401644543,"female",15,67,"white"
15000,71.8312798414845,"male",12,39,"white"
2400,67.0453292939346,"female",8,39,"hispanic"
30000,68.3055060780607,"male",12,32,"hispanic"
30000,70.0254597608,"male",12,33,"white"
10000,61.810385880759,"female",12,38,"white"
5000,62.9510710034519,"female",13,26,"white"
12000,65.8211369581986,"female",13,63,"white"
20000,70.3975481863599,"female",10,61,"white"
20000,68.3777844423894,"female",12,36,"white"
20000,69.9326998807956,"male",14,23,"white"
1200,66.1718059259001,"female",12,20,"white"
700,68.4563631031197,"female",16,32,"white"
20000,69.9038575142622,"male",16,27,"white"
10000,61.1496579824015,"female",12,22,"hispanic"
30000,63.3633463280275,"female",12,73,"white"
40000,64.1470837995876,"female",14,56,"white"
25000,67.3183904122561,"male",12,89,"white"
10000,60.6749360549729,"female",17,79,"white"
60000,68.840902544558,"female",18,63,"white"
18000,67.6827305052429,"female",12,66,"white"
16040,64.4967685842421,"female",12,33,"white"
15000,66.8124041855335,"female",14,30,"black"
10000,68.7464377458673,"male",17,23,"white"
33000,67.0676490592305,"female",13,43,"white"
18000,68.1379930116236,"female",12,30,"white"
15000,63.3428967916407,"female",12,37,"white"
21000,71.3866663060617,"male",12,22,"white"
